0001_0.8_0.2.jpg,33.63,0.988
0002_0.8_0.08.jpg,37.82,0.991
0003_0.8_0.2.jpg,36.33,0.976
0004_0.9_0.12.jpg,33.26,0.990
0006_0.85_0.08.jpg,37.45,0.988
0007_0.9_0.16.jpg,35.51,0.989
0009_0.8_0.16.jpg,33.94,0.980
0010_0.95_0.16.jpg,33.61,0.981
0011_0.95_0.16.jpg,38.78,0.986
0014_0.8_0.12.jpg,37.46,0.990
0016_0.8_0.08.jpg,39.01,0.993
0017_0.9_0.08.jpg,36.89,0.982
0018_0.9_0.2.jpg,37.24,0.990
0019_0.8_0.16.jpg,37.09,0.989
0021_0.8_0.08.jpg,38.37,0.991
0022_0.8_0.08.jpg,40.78,0.990
0023_0.85_0.12.jpg,43.26,0.989
0024_0.85_0.08.jpg,39.36,0.974
0025_0.8_0.16.jpg,34.61,0.985
0026_0.95_0.08.jpg,38.79,0.989
0029_0.85_0.08.jpg,36.43,0.987
0030_0.95_0.12.jpg,36.48,0.989
0033_0.85_0.08.jpg,38.16,0.989
0034_0.9_0.16.jpg,37.77,0.989
0036_1_0.08.jpg,40.83,0.993
0039_0.9_0.2.jpg,34.97,0.986
0040_1_0.08.jpg,38.00,0.992
0042_0.8_0.2.jpg,35.20,0.989
0045_0.8_0.16.jpg,35.83,0.990
0046_0.9_0.16.jpg,36.88,0.980
0047_0.9_0.12.jpg,36.79,0.973
0048_0.9_0.2.jpg,34.72,0.987
0049_0.85_0.12.jpg,39.36,0.995
0051_0.8_0.2.jpg,38.75,0.992
0051_0.95_0.12.jpg,39.84,0.993
0052_0.9_0.16.jpg,37.41,0.991
0053_0.9_0.12.jpg,37.74,0.988
0054_0.85_0.16.jpg,38.22,0.991
0055_0.85_0.12.jpg,33.63,0.982
0056_0.8_0.16.jpg,40.60,0.990
0057_0.8_0.12.jpg,33.35,0.990
0058_0.8_0.2.jpg,34.12,0.987
0059_0.9_0.12.jpg,38.16,0.991
0060_0.9_0.2.jpg,37.18,0.981
